How effective are the lectures for you?,How effective are the workshops for you?,How helpful are the materials provided when studying for the Quizzes?,How effective are the video walkthroughs for you?,"Has the support provided by the Course Coordinators been sufficient (i.e. support tutorials, answering emails, disability provisions)?",How effective are the Study Guides for you?,Would you change the assessment style? e.g. Are you happy with the tests or would you prefer another assessment method? 
4,4,5,5,5,5,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
4,4,5,5,5,5,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,2,4,5,3,5,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
4,5,3,4,4,5,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
5,1,4,3,4,5,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,3,3,2,4,5,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,4,3,5,5,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,4,3,5,5,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
4,4,4,4,5,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,4,4,4,5,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
4,5,4,4,4,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,4,3,4,4,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
2,4,2,3,4,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,4,4,2,3,4,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
4,5,4,5,5,3,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,5,3,5,5,3,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
2,4,2,4,3,3,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
2,4,3,3,4,3,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,5,2,5,5,1,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,4,3,5,4,1,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
3,5,4,4,5,1,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
4,5,4,1,5,1,"I am ok with the current assessments, but I don't think they are they best way of assessing my knowledge."
5,5,5,5,5,5,"No, I am very happy with the current assessments."
5,5,5,5,5,5,"No, I am very happy with the current assessments."
5,5,5,5,5,5,"No, I am very happy with the current assessments."
5,5,5,5,5,5,"No, I am very happy with the current assessments."
5,5,5,5,5,5,"No, I am very happy with the current assessments."
5,5,5,5,5,5,"No, I am very happy with the current assessments."
5,5,5,5,5,5,"No, I am very happy with the current assessments."
4,5,5,5,5,5,"No, I am very happy with the current assessments."
4,5,5,5,5,5,"No, I am very happy with the current assessments."
5,4,5,5,5,5,"No, I am very happy with the current assessments."
5,4,4,5,4,5,"No, I am very happy with the current assessments."
4,5,4,1,5,5,"No, I am very happy with the current assessments."
5,5,5,5,5,4,"No, I am very happy with the current assessments."
4,4,4,5,5,4,"No, I am very happy with the current assessments."
4,4,4,5,5,4,"No, I am very happy with the current assessments."
3,4,4,5,4,4,"No, I am very happy with the current assessments."
3,4,3,5,4,4,"No, I am very happy with the current assessments."
4,5,4,4,5,4,"No, I am very happy with the current assessments."
4,4,3,4,5,4,"No, I am very happy with the current assessments."
4,5,5,4,4,4,"No, I am very happy with the current assessments."
4,5,4,5,5,3,"No, I am very happy with the current assessments."
4,4,4,5,5,3,"No, I am very happy with the current assessments."
4,4,3,5,5,3,"No, I am very happy with the current assessments."
4,4,4,5,4,3,"No, I am very happy with the current assessments."
4,4,4,5,4,3,"No, I am very happy with the current assessments."
4,4,4,5,,3,"No, I am very happy with the current assessments."
4,5,5,4,5,3,"No, I am very happy with the current assessments."
3,5,5,3,5,3,"No, I am very happy with the current assessments."
5,5,4,3,4,3,"No, I am very happy with the current assessments."
2,4,3,4,4,2,"No, I am very happy with the current assessments."
5,5,3,4,3,2,"No, I am very happy with the current assessments."
4,5,3,5,5,1,"No, I am very happy with the current assessments."
4,5,5,4,5,1,"No, I am very happy with the current assessments."
3,4,4,4,5,1,"No, I am very happy with the current assessments."
4,5,4,4,4,1,"No, I am very happy with the current assessments."
4,4,5,3,5,1,"No, I am very happy with the current assessments."
4,5,4,1,5,1,"No, I am very happy with the current assessments."
4,4,3,1,5,1,"No, I am very happy with the current assessments."
4,4,3,1,5,1,"No, I am very happy with the current assessments."
4,5,5,5,5,5,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
5,5,3,5,5,5,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
5,5,5,5,,5,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
3,4,2,4,4,4,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
3,4,3,4,4,3,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
3,4,4,3,5,3,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
2,5,2,1,5,3,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
2,4,2,1,3,2,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
2,3,1,3,2,1,"Yes, the current assessments don't seem to be accurately assessing my knowledge."
5,5,5,5,,5,
5,5,5,5,,5,
5,4,5,4,5,4,
4,3,2,2,3,3,
4,4,5,1,,1,
